ID,Duplicates,CatOrTranslateDate,PrimarySeller,SecondarySeller,InstitutionOrCollection,Buyer,CatalogueID,LotOrCat,Price,Currency,Sold,Source,CurrentLocation,Author,AuthorVariant,Title,Language,Material,Place,LiturgicalUse,Date,Circa,Artist,Scribe,Folios,Columns,Lines,Height,Width,Binding,Provenance,Comments
16,"16,909,200,885",19991129,Christie's,,,,"Valuable illuminated manuscripts, printed books and autograph letters including the property of an Athenian collector (6222)",3,40480,,,,"New York, Morgan Library, MS M.1159",Petrus Comestor,"Petrus, Comestor (Manducator)",Historia Scholastica Bible Historiale,Latin,V,France,,1175,C2H,,,143,2,40,297,220,Contemporary binding,Langhat,
18,,19991129,Christie's,,,,"Valuable illuminated manuscripts, printed books and autograph letters including the property of an Athenian collector (6222)",7,11960,,,,,Hugh of Saint-Victor,"Hugh, of Saint-Victor","Works, Theological",Latin,V,"Netherlands, southern, Huy?",,1436,,,,240,1,30,215,145,,Convent Crosiers-Clair-Lieu,
19,"19,168,231,865,763,100,000,000",19991129,Christie's,,,,"Valuable illuminated manuscripts, printed books and autograph letters including the property of an Athenian collector (6222)",9,336800,,,,Wellcome Library for the History and Understanding of Medicine,"Lydgate, John",John Lygate,Astrological and Medical Compendium|Pilgrims' Guide London-Jerusalem and Itinerary|Storie Lune|For Helth of Mans Body,English,V,England,,1454,c+,,,100,1,26,209,140,19thc binding,Hill|Clumber (Newcastle)|Lubbock,
21,"214,642,503,551,747,000,000,000",19991129,Christie's,,,,"Valuable illuminated manuscripts, printed books and autograph letters including the property of an Athenian collector (6222)",4,134400,,,,"New York, Morgan Library, MS M.1150",,,"Magna Carta, Statutes, Carta de forest.. Edward III",Latin|French,V,England,,1313,C1Q,,,218,1,23,98,57,18thc binding with silver catches,"Merton, Thomas|Saunder, Thomas, Sir|Ire|Mettler|Hooper, William Harcourt",
22,"2,222,286",19991129,Christie's,,,,"Valuable illuminated manuscripts, printed books and autograph letters including the property of an Athenian collector (6222)",17,99200,,,,,,,Harangues & Orisons des Anciens,French,V,"France, Paris",,1530,C,,,166,2,41,400,200,Orig Green binding,De Polignac|De Rohan|Armand,
24,"2,413,788",19991129,Christie's,,,,"Valuable illuminated manuscripts, printed books and autograph letters including the property of an Athenian collector (6222)",6,13800,,,,,,"Augustine, Saint, Bishop of Hippo, Pseudo-Augustine",Works,Latin,V,"Italy, northeastern",,1420,CEARLY,,,140,1,39,232,162,18thc German binding,Weissenau Abbey|Winkler|Korros,
31,"3,148,351",19990708,Christie's,"Rothschild, Anselm von",,,no. 6179: The Rothschild prayerbook and the Cornaro missal,101,4435325,,,,,,,Missal,Latin,V,"Italy, northern",,1503,C,,,176,1,15,398,275,1610c Roman Imitation French binding,Cornaro(Colonna)|De Bure|Rothschild453|Austrian Nat Lib,
46,"46,110,372,835,549,300,000,000,000,000,000",19990609,Christie's NY,,,,No. 9178: Printed books and manuscripts,66,11500,,,,,"Thomas Aquinas, Saint","Thomas, Aquinas, Saint",Quaestiones de Potentia Dei(Commentary Sentences),Latin,P,"Germany, southern",,1450,C,,,328,2,45,321,216,,De Helb,
48,,19990602,Christie's London,,,,"no. 6125: Valuable illuminated manuscripts, printed books and autograph letters",34,6900,GBP,YES,,,,,"Rules & Statutes, Franciscan Poverty",Latin,V,Italy,,1320,C,,,136,1,28,136,108,18thc binding,Gaboureau,
49,"495,144",19990602,Christie's London,,,,"no. 6125: Valuable illuminated manuscripts, printed books and autograph letters",35,21850,GBP,YES,,,,,Antiphoner,Latin,V,"France, Besancon",Besancon,1375,C,,Jean Tousbien,218,2,13,291,212,Orig binding,Parish Of Asnans (Canton Of Chaussin)|Chanboz Des Charettes|Jeunet|Belin,
50,"509,384",19990602,Christie's London,,,,"no. 6125: Valuable illuminated manuscripts, printed books and autograph letters",42,5175,GBP,YES,,,,Guillermus Gorris,Scotus Pauperum..,Latin,P,"France, eastern?",,1490,C,,,210,1,50,210,140,,"Monastery-Baccarat|Barrois, Joseph|Ashburnham, Bertram, 4th Earl of Ashburnham",
51,,19990602,Christie's London,,,,"no. 6125: Valuable illuminated manuscripts, printed books and autograph letters",32,32200,GBP,YES,,"Lawrence J. Schoenberg Coll., LJS 303",,,"Register, Marks of Broadland Swan Owners",English,V,"England, Norwich?",,1500,C,,,5,,,780,114,,"Hobart|Norfolk Record Office|Schoenberg, Lawrence J.",Returned to England due to denied export licence
52,"523,097,031,021,204,000",19990602,Christie's London,,,,"no. 6125: Valuable illuminated manuscripts, printed books and autograph letters",39,2990,GBP,YES,,,,,"Psalmi Penitentiales Litany, Breviary",Latin,V,"Germany, western",Rome,1475,C,,,55,1,13,115,83,19thc Rose Velvet binding,"Phillipps, Thomas, Sir",Phillipps22947
